network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,571,604,635,,,,,,,605,7106,7107,7136,,,,
testnet,default,transfer-erc20-test,,,0,547,555,591,,,,,,,558,7038,7050,7083,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,265,277,336,,,,,277,6597,,,6609,6668,,,279,8691
testnet,default,transfer-cadence-test,,,0,303,315,369,,,,,315,7656,,,7700,9421,,,317,9728
mainnet,default,transfer-test,,,0,383,402,408,,,,,,,403,6646,6678,6682,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,280,309,376,,,,,309,7210,,,7234,7284,,,311,11399
testnet,ALCHEMY_URL,transfer-test,,,0,518,555,593,,,,,,,556,7038,7088,7120,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,505,505,547,,,,,,,508,6925,6935,6966,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,519,552,584,,,,,,,553,6997,7043,7069,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,401,402,408,,,,,,,402,6644,6659,6664,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,323,352,362,,,,,,,355,6593,6618,6624,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,290,301,307,,,,,,,302,6539,6553,6558,,,,
mainnet,default,headless-kittypunch-swap-2,0,20331,,,,,20366,26342,26359,44779,,,,,,,44817,51139,,
