network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,785,805,840,,,,,,,806,7354,7357,7391,,,,
testnet,default,transfer-erc20-test,,,0,825,856,923,,,,,,,859,7439,7449,7486,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,472,478,541,,,,,478,6780,,,6812,6849,,,480,10995
testnet,default,transfer-cadence-test,,,0,306,341,401,,,,,341,7751,,,7781,9636,,,343,9837
mainnet,default,transfer-test,,,0,589,605,615,,,,,,,606,6890,6917,6927,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,502,509,558,,,,,510,8307,,,8339,8420,,,511,10326
testnet,ALCHEMY_URL,transfer-test,,,0,754,753,796,,,,,,,754,7307,7330,7357,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,719,753,787,,,,,,,756,7255,7277,7309,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,563,604,632,,,,,,,605,7106,7127,7154,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,295,303,312,,,,,,,303,6580,6586,6595,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,264,302,316,,,,,,,305,6579,6597,6608,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,370,403,413,,,,,,,404,6695,6736,6746,,,,
mainnet,default,headless-kittypunch-swap-1,0,20923,,,,,20938,29202,29230,47649,,,,,,,47698,54316,,
