network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,883,912,967,,,,,,,,,913,7476,7505,7539,,,,
testnet,default,transfer-erc20-test,,,0,832,859,917,,,,,,,,,862,7410,7459,7496,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,507,550,605,,,,,,,551,6941,,,6982,7036,,,552,10119
testnet,default,transfer-cadence-test,,,0,480,488,570,,,,,,,489,4766,,,4767,7600,,,491,7910
mainnet,default,transfer-test,,,0,1147,1158,1205,,,,,,,,,1159,7754,7758,7797,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,542,561,642,,,,,,,562,5233,,,5244,5342,,,563,10629
testnet,ALCHEMY_URL,transfer-test,,,0,1010,1054,1147,,,,,,,,,1054,7928,7967,8045,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,905,907,989,,,,,,,,,910,7751,7761,7842,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,937,958,1031,,,,,,,,,959,4882,4891,4971,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,664,704,733,,,,,,,,,704,7183,7201,7230,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,568,606,639,,,,,,,,,608,7078,7107,7138,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,867,904,950,,,,,,,,,905,4256,4278,4317,,,,
mainnet,default,headless-kittypunch-swap-1,0,21191,,,,,21213,29781,,,29805,48367,,,,,,,48411,55291,,
mainnet,default,headless-kittypunch-swap-2,0,2178,,,,,,,2182,8653,8673,27449,,,,,,,27488,33954,,
