network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,771,804,840,,,,,,,805,7290,7291,7325,,,,
testnet,default,transfer-erc20-test,,,0,719,757,795,,,,,,,760,7247,7258,7293,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,527,528,586,,,,,528,5794,,,5831,5894,,,530,7899
testnet,default,transfer-cadence-test,,,0,318,336,400,,,,,337,4568,,,4601,7587,,,339,7685
mainnet,default,transfer-test,,,0,680,703,713,,,,,,,704,6986,7031,7040,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,536,583,636,,,,,584,7464,,,7508,7571,,,585,10605
testnet,ALCHEMY_URL,transfer-test,,,0,813,854,893,,,,,,,855,7436,7480,7535,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,716,753,787,,,,,,,755,7272,7282,7313,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,571,600,626,,,,,,,601,7073,7112,7141,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,379,403,413,,,,,,,404,6682,6713,6722,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,285,304,318,,,,,,,306,6582,6611,6621,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,564,604,613,,,,,,,605,6883,6916,6924,,,,
mainnet,default,headless-kittypunch-swap-1,0,20558,,,,,20559,28779,28794,47000,,,,,,,47032,53399,,
