network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,897,918,1025,,,,,,,,,918,7849,7856,7962,,,,
testnet,default,transfer-erc20-test,,,0,870,868,932,,,,,,,,,870,7721,7757,7818,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,582,620,731,,,,,,,621,5123,,,5166,5276,,,623,9389
testnet,default,transfer-cadence-test,,,0,576,616,695,,,,,,,616,6047,,,6076,8975,,,618,9290
mainnet,default,transfer-test,,,0,1200,1225,1296,,,,,,,,,1225,7926,7958,8029,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,811,845,979,,,,,,,845,5962,,,6000,6115,,,847,11755
testnet,ALCHEMY_URL,transfer-test,,,0,1115,1122,1251,,,,,,,,,1122,8215,8264,8364,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1036,1071,1162,,,,,,,,,1073,8085,8113,8211,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1621,1632,1749,,,,,,,,,1632,8870,8876,8970,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,905,919,987,,,,,,,,,918,7793,7808,7877,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,677,714,786,,,,,,,,,716,7616,7654,7731,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1054,1075,1147,,,,,,,,,1075,4507,4544,4614,,,,
mainnet,default,headless-kittypunch-swap-1,0,20921,,,,,20954,29381,,,29430,47910,,,,,,,47915,54766,,
mainnet,default,headless-kittypunch-swap-2,0,2244,,,,,,,2276,8852,8868,27498,,,,,,,27548,34576,,
