network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,964,1003,1039,,,,,,,,,1004,7546,7563,7597,,,,
testnet,default,transfer-erc20-test,,,0,664,705,743,,,,,,,,,706,7216,7259,7295,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,420,431,494,,,,,,,432,6732,,,6762,6800,,,433,9861
testnet,default,transfer-cadence-test,,,0,435,445,508,,,,,,,445,7847,,,7884,9088,,,447,9925
mainnet,default,transfer-test,,,0,571,605,615,,,,,,,,,606,6886,6932,6941,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,721,760,829,,,,,,,761,5597,,,5631,5693,,,762,8679
testnet,ALCHEMY_URL,transfer-test,,,0,698,705,742,,,,,,,,,706,7186,7230,7259,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,548,554,601,,,,,,,,,556,7024,7034,7063,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,921,955,981,,,,,,,,,956,7425,7462,7493,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,364,402,412,,,,,,,,,402,6682,6717,6725,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,460,503,516,,,,,,,,,506,6780,6817,6827,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,665,705,714,,,,,,,,,706,6985,7011,7020,,,,
mainnet,default,headless-kittypunch-swap-1,0,20887,,,,,20918,29078,,,29106,47210,,,,,,,47220,53444,,
mainnet,default,headless-kittypunch-swap-2,0,2066,,,,,,,2073,8150,8166,26452,,,,,,,26469,32843,,
