providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-test,0,1041,1050,1170,4700,4846,,,1050,4697,,
default,transfer-erc20-test,0,1110,1100,1239,8000,8126,,,1100,8049,,
default,transfer-cadence-soft-finality-test,0,553,500,748,6150,6331,500,6245,,,500,8476
default,transfer-cadence-test,0,454,400,604,5950,7775,400,6033,,,400,8404
ALCHEMY_URL,transfer-test,0,2136,2150,2479,10450,10783,,,2150,10467,,
ALCHEMY_URL,transfer-erc20-test,0,1256,1250,1400,9400,9573,,,1250,9438,,
