network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1050,1071,1135,,,,,,,,,1072,7867,7887,7948,,,,
testnet,default,transfer-erc20-test,,,0,816,815,880,,,,,,,,,818,7658,7704,7766,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,590,628,690,,,,,,,628,6056,,,6086,6149,,,630,9252
testnet,default,transfer-cadence-test,,,0,502,515,579,,,,,,,516,7013,,,7050,10125,,,518,10277
mainnet,default,transfer-test,,,0,878,917,990,,,,,,,,,918,7628,7651,7723,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,689,694,813,,,,,,,695,5610,,,5646,5775,,,697,10225
testnet,ALCHEMY_URL,transfer-test,,,0,784,816,921,,,,,,,,,817,7817,7856,7960,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,739,766,880,,,,,,,,,770,7840,7860,7963,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1240,1275,1368,,,,,,,,,1276,8550,8570,8658,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,780,815,884,,,,,,,,,816,7699,7706,7777,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,913,917,993,,,,,,,,,920,7829,7861,7936,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1198,1226,1299,,,,,,,,,1227,7934,7959,8032,,,,
mainnet,default,headless-kittypunch-swap-1,0,21620,,,,,21670,30275,,,30294,48808,,,,,,,48838,55702,,
mainnet,default,headless-kittypunch-swap-2,0,1980,,,,,,,1997,8686,8687,27063,,,,,,,27069,34106,,
