network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,743,764,784,,,,,,,765,7145,7192,7211,,,,
testnet,default,transfer-erc20-test,,,0,367,408,431,,,,,,,411,3572,3577,3598,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,485,527,586,,,,,528,4787,,,4818,4871,,,529,6895
testnet,default,transfer-cadence-test,,,0,426,472,520,,,,,473,4675,,,4713,6710,,,475,6792
mainnet,default,transfer-test,,,0,542,562,586,,,,,,,562,6990,6994,7017,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,374,407,473,,,,,407,5077,,,5101,5166,,,409,10453
testnet,ALCHEMY_URL,transfer-test,,,0,1428,1437,1628,,,,,,,1438,5743,5778,5964,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1487,1530,1741,,,,,,,1532,5966,5973,6153,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1335,1377,1573,,,,,,,1378,9057,9083,9160,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,467,513,546,,,,,,,514,3739,3782,3800,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,431,459,482,,,,,,,461,3620,3624,3643,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,589,612,635,,,,,,,612,7039,7042,7065,,,,
mainnet,default,headless-kittypunch-swap-1,0,21699,,,,,21722,24399,24439,43021,,,,,,,43068,49421,,
