network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,885,908,976,,,908,4523,4543,4612,,
testnet,default,transfer-erc20-test,0,671,708,783,,,711,4331,4350,4422,,
testnet,default,transfer-cadence-soft-finality-test,0,768,810,912,811,4226,,,4231,4333,813,7549
testnet,default,transfer-cadence-test,0,529,577,676,578,3995,,,4000,7149,580,7313
mainnet,default,transfer-test,0,965,1010,1086,,,1011,7957,7974,8050,,
mainnet,default,transfer-cadence-soft-finality-test,0,848,861,974,862,7058,,,7103,7219,864,9294
testnet,ALCHEMY_URL,transfer-test,0,965,1012,1129,,,1013,5138,5167,5266,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1027,1058,1204,,,1061,4877,4905,5011,,
testnet,QUICKNODE_URL,transfer-test,0,766,806,875,,,807,4422,4445,4514,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,676,710,785,,,713,4331,4348,4420,,
mainnet,QUICKNODE_URL,transfer-test,0,866,910,986,,,911,7858,7878,7954,,
