network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,879,908,966,,,909,7665,7686,7743,,
testnet,default,transfer-erc20-test,0,554,557,622,,,559,7357,7379,7442,,
testnet,default,transfer-cadence-soft-finality-test,0,930,931,1022,931,6440,,,6472,6562,932,10810
testnet,default,transfer-cadence-test,0,657,661,736,662,6206,,,6251,9620,663,10582
mainnet,default,transfer-test,0,602,608,672,,,609,7416,7438,7500,,
mainnet,default,transfer-cadence-soft-finality-test,0,1438,1485,1590,1486,6659,,,6674,6777,1487,13268
testnet,ALCHEMY_URL,transfer-test,0,1395,1417,1537,,,1418,8734,8747,8854,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1136,1165,1280,,,1168,8839,8886,8994,,
mainnet,ALCHEMY_URL,transfer-test,0,800,816,917,,,816,7953,7992,8089,,
testnet,QUICKNODE_URL,transfer-test,0,529,560,618,,,561,7335,7336,7392,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,602,611,677,,,614,7372,7382,7438,,
mainnet,QUICKNODE_URL,transfer-test,0,571,608,669,,,609,7380,7387,7444,,
