network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,587,607,665,,,,,,,,,608,3843,3856,3911,,,,
testnet,default,transfer-erc20-test,,,0,678,713,749,,,,,,,,,716,3948,3982,4015,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,448,461,495,,,,,,,462,4675,,,4699,4734,,,463,7805
testnet,default,transfer-cadence-test,,,0,435,451,501,,,,,,,451,3628,,,3669,6570,,,453,6754
mainnet,default,transfer-test,,,0,719,767,773,,,,,,,,,767,7015,7043,7049,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,274,277,327,,,,,,,277,12050,,,12065,12113,,,278,12050
testnet,ALCHEMY_URL,transfer-test,,,0,365,403,448,,,,,,,,,404,3646,3668,3710,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,256,305,354,,,,,,,,,308,3556,3573,3601,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,744,766,796,,,,,,,,,767,7236,7240,7268,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,430,458,464,,,,,,,,,459,3493,3519,3524,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,306,306,315,,,,,,,,,309,3347,60000,121142,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,352,361,368,,,,,,,,,362,6609,6651,6660,,,,
mainnet,default,headless-kittypunch-swap-1,0,21096,,,,,21128,29259,,,29291,47747,,,,,,,47768,54256,,
mainnet,default,headless-kittypunch-swap-2,0,2010,,,,,,,2011,8242,8246,27085,,,,,,,27085,33638,,
