network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,736,770,806,,,,,,,771,7282,7300,7334,,,,
testnet,default,transfer-erc20-test,,,0,776,816,852,,,,,,,818,7317,7351,7386,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,500,527,582,,,,,528,6874,,,6904,6965,,,529,10054
testnet,default,transfer-cadence-test,,,0,482,523,621,,,,,524,5869,,,5882,9126,,,525,9028
mainnet,default,transfer-test,,,0,819,866,890,,,,,,,867,7295,7298,7321,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,614,628,713,,,,,629,5667,,,5683,5748,,,631,12065
testnet,ALCHEMY_URL,transfer-test,,,0,623,662,729,,,,,,,663,7326,7348,7425,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,442,459,529,,,,,,,461,7146,7147,7203,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,4520,4543,4602,,,,,,,4544,11191,11226,11273,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,462,459,479,,,,,,,460,6842,6891,6911,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,549,560,583,,,,,,,563,6947,6979,7000,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,524,561,585,,,,,,,562,13414,13464,13487,,,,
mainnet,default,headless-kittypunch-swap-1,0,20968,,,,,20990,29531,29567,48346,,,,,,,48370,55261,,
