network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1198,1224,1336,,,,,,,1224,4966,5004,5065,,,,
testnet,default,transfer-erc20-test,,,0,842,871,937,,,,,,,873,4433,4449,4512,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,600,638,748,,,,,638,4092,,,4108,4172,,,640,8412
testnet,default,transfer-cadence-test,,,0,515,536,645,,,,,537,4853,,,4876,6879,,,538,7032
mainnet,default,transfer-test,,,0,936,969,1042,,,,,,,970,7676,7703,7775,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,772,800,918,,,,,801,5801,,,5805,5970,,,803,9385
testnet,ALCHEMY_URL,transfer-test,,,1,713,714,831,,,,,,,714,4493,4541,4631,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,801,815,964,,,,,,,818,4642,4645,4749,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,909,918,1040,,,,,,,918,7914,7962,8084,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,825,866,935,,,,,,,867,4461,4493,4559,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,771,816,891,,,,,,,818,4456,4495,4567,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,918,966,1038,,,,,,,966,7672,7679,7750,,,,
mainnet,default,headless-kittypunch-swap-1,0,20871,,,,,20901,29635,29678,48258,,,,,,,48271,57290,,
