network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,751,756,790,,,,,,,757,7255,7257,7292,,,,
testnet,default,transfer-erc20-test,,,0,733,755,793,,,,,,,758,7272,7309,7344,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,517,557,612,,,,,558,5867,,,5885,5942,,,560,9027
testnet,default,transfer-cadence-test,,,0,1119,1167,1247,,,,,1168,6505,,,6508,10197,,,1170,10679
mainnet,default,transfer-test,,,0,1151,1154,1179,,,,,,,1155,7578,7593,7617,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,574,587,670,,,,,588,31617,,,31636,31703,,,589,31617
testnet,ALCHEMY_URL,transfer-test,,,0,876,909,1023,,,,,,,909,7607,7610,7669,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,866,906,971,,,,,,,909,7596,7611,7679,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,653,657,704,,,,,,,658,7292,7304,7354,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,532,553,573,,,,,,,554,6934,6955,6974,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,440,452,475,,,,,,,454,6831,6836,6857,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,675,703,727,,,,,,,704,7130,7141,7164,,,,
mainnet,default,headless-kittypunch-swap-1,0,20559,,,,,20591,28857,28890,47726,,,,,,,47732,54316,,
