network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,943,954,1014,,,,,,,954,7754,7787,7850,,,,
testnet,default,transfer-erc20-test,,,0,913,959,1024,,,,,,,962,7757,7806,7867,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,551,585,704,,,,,585,6053,,,6061,6126,,,587,9250
testnet,default,transfer-cadence-test,,,0,597,634,771,,,,,634,6095,,,6110,8252,,,635,8272
mainnet,default,transfer-test,,,0,790,807,879,,,,,,,808,7509,7511,7582,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,767,782,3126,,,,,783,4867,,,4867,5033,,,784,8245
testnet,ALCHEMY_URL,transfer-test,,,0,1188,1206,1327,,,,,,,1207,8294,8313,8421,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1087,1122,1230,,,,,,,1125,8202,8241,8330,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1742,1758,1874,,,,,,,1759,6162,6197,6303,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,818,855,922,,,,,,,856,7725,7749,7819,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,711,756,831,,,,,,,759,7689,7704,7776,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,668,706,778,,,,,,,707,7411,7417,7489,,,,
mainnet,default,headless-kittypunch-swap-1,0,20938,,,,,20953,29586,29590,48335,,,,,,,48342,55173,,
