network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,747,764,800,,,,,,,,,765,4764,4795,4829,,,,
testnet,default,transfer-erc20-test,,,0,551,561,599,,,,,,,,,564,7057,7097,7132,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,418,426,463,,,,,,,427,6750,,,6791,6829,,,428,8828
testnet,default,transfer-cadence-test,,,0,488,497,536,,,,,,,498,5761,,,5792,8320,,,500,8902
mainnet,default,transfer-test,,,0,480,511,521,,,,,,,,,511,6796,6836,6845,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,640,665,746,,,,,,,666,7680,,,7709,7776,,,667,11823
testnet,ALCHEMY_URL,transfer-test,,,0,975,1005,1049,,,,,,,,,1006,7561,7577,7620,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,735,764,794,,,,,,,,,767,7241,7279,7314,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,2913,2956,3002,,,,,,,,,2957,9428,9446,9486,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,562,610,620,,,,,,,,,611,6886,6891,6899,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,527,554,567,,,,,,,,,557,6832,6833,6843,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,510,509,519,,,,,,,,,510,6794,6817,6827,,,,
mainnet,default,headless-kittypunch-swap-1,0,21203,,,,,21220,29549,,,29567,47970,,,,,,,47999,60864,,
mainnet,default,headless-kittypunch-swap-2,0,1960,,,,,,,1985,8190,8220,26730,,,,,,,26761,29618,,
