network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,483,506,515,,,506,6782,6812,6820,,
testnet,default,transfer-erc20-test,0,260,303,315,,,306,6580,6610,6619,,
testnet,default,transfer-cadence-soft-finality-test,0,436,440,515,441,5561,,,5566,5705,442,9744
testnet,default,transfer-cadence-test,0,330,359,385,360,5447,,,5488,9056,361,9626
mainnet,default,transfer-test,0,644,655,667,,,656,6949,6956,6967,,
testnet,ALCHEMY_URL,transfer-test,0,299,302,325,,,303,6682,6706,6720,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,264,303,334,,,306,6686,6709,6724,,
mainnet,ALCHEMY_URL,transfer-test,0,219,252,268,,,253,6615,6657,6673,,
testnet,QUICKNODE_URL,transfer-test,0,273,303,312,,,303,6579,6607,6616,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,217,253,265,,,256,6530,6563,6572,,
mainnet,QUICKNODE_URL,transfer-test,0,471,504,518,,,505,6798,6847,6858,,
