network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1044,1053,1160,,,,,,,,,1054,7943,7948,8006,,,,
testnet,default,transfer-erc20-test,,,0,921,952,1063,,,,,,,,,955,7792,7836,7898,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,584,584,694,,,,,,,585,6133,,,6169,6230,,,586,8308
testnet,default,transfer-cadence-test,,,0,578,615,723,,,,,,,616,6212,,,6251,8460,,,618,8344
mainnet,default,transfer-test,,,0,843,854,926,,,,,,,,,855,7555,7604,7675,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,1,698,709,883,,,,,,,710,8078,,,8094,8260,,,711,11581
testnet,ALCHEMY_URL,transfer-test,,,0,1064,1108,1200,,,,,,,,,1109,8070,8103,8207,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,605,605,711,,,,,,,,,608,7537,7556,7647,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,804,805,935,,,,,,,,,806,7808,7844,7940,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,817,854,922,,,,,,,,,855,7742,7756,7828,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,802,806,883,,,,,,,,,809,7724,7754,7828,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,754,754,826,,,,,,,,,755,7474,7523,7594,,,,
mainnet,default,headless-kittypunch-swap-1,0,21434,,,,,21457,30312,,,30318,48929,,,,,,,48943,55790,,
mainnet,default,headless-kittypunch-swap-2,0,2058,,,,,,,2090,8496,8544,27311,,,,,,,27359,31178,,
