network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,993,1016,1091,,,,,,,1017,4680,4699,4774,,,,
testnet,default,transfer-erc20-test,,,0,723,757,831,,,,,,,760,4388,4395,4466,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,792,831,937,,,,,832,4234,,,4257,4365,,,833,7579
testnet,default,transfer-cadence-test,,,0,554,595,690,,,,,596,4986,,,5025,7635,,,597,8308
mainnet,default,transfer-test,,,0,819,862,939,,,,,,,863,7591,7621,7692,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,894,897,1015,,,,,898,32033,,,32065,32184,,,899,32033
testnet,ALCHEMY_URL,transfer-test,,,0,1851,1864,2111,,,,,,,1865,6365,6408,6509,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1596,1615,1914,,,,,,,1618,6081,6118,6226,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1549,1565,1658,,,,,,,1566,5871,5910,6008,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,752,760,835,,,,,,,761,4400,4448,4518,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,749,758,836,,,,,,,760,4374,4404,4472,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,686,710,786,,,,,,,710,7438,7476,7552,,,,
mainnet,default,headless-kittypunch-swap-1,0,20899,,,,,20919,23777,23814,42085,,,,,,,42115,49175,,
