network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,707,755,791,,,,,,,756,7245,7295,7331,,,,
testnet,default,transfer-erc20-test,,,0,741,755,820,,,,,,,759,7277,7299,7336,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,331,366,405,,,,,367,6713,,,6755,6793,,,368,8839
testnet,default,transfer-cadence-test,,,0,300,337,399,,,,,338,6636,,,6672,8512,,,338,8737
mainnet,default,transfer-test,,,0,870,909,920,,,,,,,910,7194,7212,7221,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,611,659,710,,,,,660,6575,,,6593,6646,,,661,10850
testnet,ALCHEMY_URL,transfer-test,,,0,867,906,950,,,,,,,907,7467,7481,7515,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,757,804,841,,,,,,,807,7329,7334,7372,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,469,501,528,,,,,,,501,7003,7029,7065,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,323,354,364,,,,,,,355,6630,6643,6652,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,227,252,265,,,,,,,254,6527,6557,6567,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,529,553,564,,,,,,,554,6835,6861,6871,,,,
mainnet,default,headless-kittypunch-swap-1,0,21143,,,,,21189,29669,29695,48239,,,,,,,48283,55112,,
