network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,391,408,414,,,409,6646,6672,6677,,
testnet,default,transfer-erc20-test,0,198,204,213,,,207,6442,6470,6477,,
testnet,default,transfer-cadence-soft-finality-test,0,350,359,399,359,5492,,,5492,5532,361,9663
testnet,default,transfer-cadence-test,0,223,232,252,233,5405,,,5416,7898,234,8527
mainnet,default,transfer-test,0,567,610,688,,,611,13290,13335,13373,,
mainnet,default,transfer-cadence-soft-finality-test,0,485,515,865,516,6513,,,6553,6705,518,12773
testnet,ALCHEMY_URL,transfer-test,0,266,306,330,,,306,6665,6677,6694,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,180,202,234,,,205,6587,6611,6631,,
mainnet,ALCHEMY_URL,transfer-test,0,230,255,269,,,256,10664,10698,10711,,
testnet,QUICKNODE_URL,transfer-test,0,149,155,161,,,156,6404,6429,6434,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,141,154,170,,,156,6406,6422,6429,,
mainnet,QUICKNODE_URL,transfer-test,0,211,254,263,,,255,6536,6565,6572,,
