network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,1,653,657,690,,,,,,,658,7113,7161,7190,,,,
testnet,default,transfer-erc20-test,,,0,513,553,588,,,,,,,556,7026,7052,7084,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,401,408,441,,,,,409,7737,,,7758,7791,,,411,11884
testnet,default,transfer-cadence-test,,,0,441,479,515,,,,,480,6794,,,6819,9557,,,482,9922
mainnet,default,transfer-test,,,0,529,552,559,,,,,,,553,6798,6809,6814,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,417,420,484,,,,,421,5703,,,5743,5817,,,422,8780
testnet,ALCHEMY_URL,transfer-test,,,0,712,753,795,,,,,,,754,7257,7297,7331,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,824,854,893,,,,,,,857,7292,7304,7333,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,490,502,535,,,,,,,503,6979,6992,7789,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,245,254,261,,,,,,,255,6491,6529,6533,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,273,305,314,,,,,,,307,6545,6577,6584,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,526,552,559,,,,,,,553,3595,3616,3621,,,,
mainnet,default,headless-kittypunch-swap-1,0,20714,,,,,20720,28992,29020,47323,,,,,,,47358,54255,,
