network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1244,1277,1354,,,,,,,1279,8193,8226,8297,,,,
testnet,default,transfer-erc20-test,,,0,1081,1122,1201,,,,,,,1125,8045,8063,8135,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,815,854,964,,,,,854,5373,,,5400,5509,,,856,8718
testnet,default,transfer-cadence-test,,,0,923,949,1046,,,,,950,6580,,,6616,10501,,,952,11038
mainnet,default,transfer-test,,,0,1026,1072,1148,,,,,,,1073,7797,7809,7884,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,864,875,1004,,,,,875,6236,,,6236,6429,,,877,13002
testnet,ALCHEMY_URL,transfer-test,,,0,974,1020,1131,,,,,,,1021,8140,8169,8283,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1236,1275,1406,,,,,,,1278,5092,5104,5208,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,866,867,964,,,,,,,867,8035,8066,8176,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,929,969,1044,,,,,,,970,7908,7917,7991,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,839,867,942,,,,,,,869,7769,7806,7878,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,715,718,797,,,,,,,718,13911,13932,14003,,,,
mainnet,default,headless-kittypunch-swap-1,0,21104,,,,,21146,23463,23508,42004,,,,,,,42015,49134,,
