network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,620,665,684,,,666,7057,7093,7112,,
testnet,default,transfer-erc20-test,0,410,408,432,,,411,6794,6841,6861,,
testnet,default,transfer-cadence-soft-finality-test,0,651,696,748,696,4909,,,4930,4980,698,9108
testnet,default,transfer-cadence-test,0,390,390,437,391,5596,,,5596,8154,392,8745
mainnet,default,transfer-test,0,581,613,638,,,614,3817,3832,3856,,
mainnet,default,transfer-cadence-soft-finality-test,0,395,406,474,407,5437,,,5461,5526,408,10800
testnet,ALCHEMY_URL,transfer-test,0,657,663,711,,,664,7248,7299,7346,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,685,715,762,,,718,4011,4033,4079,,
mainnet,ALCHEMY_URL,transfer-test,0,465,512,542,,,512,7003,7038,7064,,
testnet,QUICKNODE_URL,transfer-test,0,362,362,382,,,363,6760,6791,6816,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,398,409,432,,,412,6825,6839,6865,,
mainnet,QUICKNODE_URL,transfer-test,0,729,764,788,,,765,7191,7194,7217,,
