network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1039,1071,1133,,,,,,,,,1071,7943,7981,8042,,,,
testnet,default,transfer-erc20-test,,,0,1041,1071,1183,,,,,,,,,1074,7968,8014,8075,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,545,585,699,,,,,,,584,9198,,,9205,9314,,,586,10271
testnet,default,transfer-cadence-test,,,0,569,606,722,,,,,,,607,6261,,,6274,8653,,,608,9458
mainnet,default,transfer-test,,,1,1000,1020,1092,,,,,,,,,1020,7734,7753,7827,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,537,541,656,,,,,,,541,7885,,,7890,8020,,,543,12431
testnet,ALCHEMY_URL,transfer-test,,,0,960,969,1066,,,,,,,,,969,7993,8013,8115,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1004,1020,1144,,,,,,,,,1022,8069,8113,8233,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1782,1789,1890,,,,,,,,,1789,9710,9747,9848,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,864,872,943,,,,,,,,,872,7779,7813,7884,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,687,714,785,,,,,,,,,717,7595,7607,7680,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,2849,2860,2932,,,,,,,,,2861,9570,9595,9666,,,,
mainnet,default,headless-kittypunch-swap-1,0,21252,,,,,21263,29998,,,30044,48421,,,,,,,48433,55932,,
mainnet,default,headless-kittypunch-swap-2,0,2083,,,,,,,2117,8779,8813,27737,,,,,,,27750,34712,,
