network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-erc20-test,,,0,779,816,876,,,,,,,,,819,7338,7352,7386,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,467,510,563,,,,,,,511,5779,,,5815,5851,,,512,8936
testnet,default,transfer-cadence-test,,,0,457,465,553,,,,,,,466,6803,,,6845,9890,,,467,9958
mainnet,default,transfer-test,,,0,737,764,788,,,,,,,,,765,7189,7192,7215,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,649,673,740,,,,,,,674,5496,,,5525,5608,,,676,12875
testnet,ALCHEMY_URL,transfer-test,,,0,893,917,981,,,,,,,,,918,7625,7652,7725,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,825,868,931,,,,,,,,,871,7581,7608,7695,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,741,765,820,,,,,,,,,766,7467,7505,7573,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,558,560,579,,,,,,,,,561,6941,6988,7007,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,545,561,584,,,,,,,,,564,3724,3727,3748,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,751,767,791,,,,,,,,,767,7198,7248,7272,,,,
mainnet,default,headless-kittypunch-swap-1,0,20999,,,,,21006,29239,,,29272,47669,,,,,,,47697,54544,,
mainnet,default,headless-kittypunch-swap-2,0,2040,,,,,,,2063,8187,8196,26902,,,,,,,26906,33315,,
