network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,719,754,789,,,,,,,755,7244,7264,7297,,,,
testnet,default,transfer-erc20-test,,,0,664,710,750,,,,,,,713,7201,7215,7251,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,447,485,521,,,,,486,6729,,,6767,6834,,,487,9874
testnet,default,transfer-cadence-test,,,0,431,476,536,,,,,477,7807,,,7847,9387,,,478,9910
mainnet,default,transfer-test,,,0,764,804,813,,,,,,,805,7084,7084,7093,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,486,511,562,,,,,511,6314,,,6331,6382,,,513,9469
testnet,ALCHEMY_URL,transfer-test,,,1,814,858,895,,,,,,,859,7394,7429,7462,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,740,753,796,,,,,,,757,7235,7248,7282,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,592,603,639,,,,,,,604,7077,7089,7210,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,608,653,663,,,,,,,654,6928,6971,6980,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,346,350,363,,,,,,,353,6629,6671,6681,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,397,403,412,,,,,,,404,6683,6709,6718,,,,
mainnet,default,headless-kittypunch-swap-1,0,20882,,,,,20888,29150,29200,47744,,,,,,,47792,54655,,
