network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,382,405,410,,,406,6645,6680,6684,,
testnet,default,transfer-erc20-test,0,233,256,264,,,259,6500,6540,6547,,
testnet,default,transfer-cadence-soft-finality-test,0,414,423,466,424,5497,,,5504,5636,425,9668
testnet,default,transfer-cadence-test,0,311,352,394,353,5422,,,5433,8247,354,8541
mainnet,default,transfer-test,0,404,404,411,,,405,6655,6677,6684,,
testnet,ALCHEMY_URL,transfer-test,0,310,309,320,,,310,6787,6825,6837,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,280,304,320,,,307,6671,6674,6685,,
mainnet,ALCHEMY_URL,transfer-test,0,188,204,216,,,204,6518,6568,6579,,
testnet,QUICKNODE_URL,transfer-test,0,186,202,207,,,203,6438,6477,6481,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,180,203,213,,,205,6440,6485,6491,,
mainnet,QUICKNODE_URL,transfer-test,0,246,255,261,,,256,6501,6540,6546,,
