network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,704,709,785,,,710,4377,4387,4462,,
testnet,default,transfer-erc20-test,0,658,657,731,,,659,4304,4347,4419,,
testnet,default,transfer-cadence-soft-finality-test,1,555,594,707,595,3924,,,3967,4074,596,7257
testnet,default,transfer-cadence-test,0,660,681,769,682,5100,,,5113,8342,683,8443
mainnet,default,transfer-test,0,1158,1162,1240,,,1163,8119,8168,8244,,
testnet,ALCHEMY_URL,transfer-test,0,792,814,911,,,815,4874,4909,5162,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1518,1564,1839,,,1567,6335,6363,6483,,
mainnet,ALCHEMY_URL,transfer-test,0,1310,1313,1408,,,1314,8825,8830,8938,,
testnet,QUICKNODE_URL,transfer-test,0,697,708,784,,,709,7611,7628,7697,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,599,607,674,,,609,7492,7523,7588,,
mainnet,QUICKNODE_URL,transfer-test,0,1152,1165,1241,,,1165,8119,8124,8200,,
