network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,698,701,734,,,,,,,,,702,7192,7193,7225,,,,
testnet,default,transfer-erc20-test,,,0,529,554,613,,,,,,,,,557,7008,7035,7065,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,257,269,302,,,,,,,269,6542,,,6558,6594,,,271,10690
testnet,default,transfer-cadence-test,,,0,275,311,391,,,,,,,312,6589,,,6595,9414,,,313,9722
mainnet,default,transfer-test,,,0,305,351,357,,,,,,,,,352,6596,6601,6607,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,443,474,540,,,,,,,475,7396,,,7419,7464,,,476,10582
testnet,ALCHEMY_URL,transfer-test,,,0,778,804,846,,,,,,,,,805,7305,7353,7382,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,816,856,907,,,,,,,,,859,7367,7410,7445,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,463,510,536,,,,,,,,,511,6965,6968,7003,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,342,353,360,,,,,,,,,354,6595,6619,6624,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,274,302,312,,,,,,,,,305,6546,6548,6557,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,596,603,609,,,,,,,,,604,6845,6851,6856,,,,
mainnet,default,headless-kittypunch-swap-1,0,21109,,,,,21114,29584,,,29603,47986,,,,,,,48025,54352,,
mainnet,default,headless-kittypunch-swap-2,0,1986,,,,,,,1997,8467,8501,26972,,,,,,,27001,33366,,
