network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1004,1002,1062,,,,,,,1003,7850,7893,7989,,,,
testnet,default,transfer-erc20-test,,,0,755,755,819,,,,,,,757,7651,7652,7714,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,521,535,646,,,,,536,6003,,,6010,6074,,,538,9204
testnet,default,transfer-cadence-test,,,0,380,415,525,,,,,416,5793,,,5836,8613,,,418,8990
mainnet,default,transfer-test,,,0,811,854,925,,,,,,,855,14028,14051,14122,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,558,561,689,,,,,561,11074,,,11112,11233,,,563,12171
testnet,ALCHEMY_URL,transfer-test,,,0,917,957,1203,,,,,,,957,8141,8161,8276,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,798,805,930,,,,,,,808,7944,7971,8082,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1247,1257,1362,,,,,,,1258,8404,8411,8509,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,710,755,823,,,,,,,755,7626,7658,7727,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,651,653,728,,,,,,,656,7503,7550,7617,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,624,653,724,,,,,,,654,7352,7384,7455,,,,
mainnet,default,headless-kittypunch-swap-1,0,21222,,,,,21235,29605,29642,48184,,,,,,,48233,61374,,
