network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,876,918,972,,,,,,,,,919,4266,4286,4337,,,,
testnet,default,transfer-erc20-test,,,0,688,718,757,,,,,,,,,721,4019,4037,4073,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,527,570,623,,,,,,,570,4842,,,4860,4912,,,572,6927
testnet,default,transfer-cadence-test,,,0,361,406,458,,,,,,,406,4621,,,4641,6495,,,408,6702
mainnet,default,transfer-test,,,0,923,970,1016,,,,,,,,,970,7615,7657,7702,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,618,638,722,,,,,,,638,7723,,,7731,7834,,,639,10963
testnet,ALCHEMY_URL,transfer-test,,,0,750,764,864,,,,,,,,,765,4389,4439,4521,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,578,612,689,,,,,,,,,614,4228,4240,4323,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,635,662,752,,,,,,,,,663,7560,7601,7679,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,605,611,637,,,,,,,,,611,3846,3879,3907,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,424,458,487,,,,,,,,,460,3697,3727,3754,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,707,713,759,,,,,,,,,714,7357,7358,7403,,,,
mainnet,default,headless-kittypunch-swap-1,0,21385,,,,,21404,29932,,,29974,48242,,,,,,,48258,54855,,
mainnet,default,headless-kittypunch-swap-2,0,1945,,,,,,,1959,8584,8603,27180,,,,,,,27187,31014,,
