network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
mainnet,default,transfer-test,,,0,1095,1110,1150,,,,,,,1111,7699,7734,7773,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,584,612,686,,,,,613,8872,,,8875,8964,,,614,13209
mainnet,ALCHEMY_URL,transfer-test,,,0,2039,2068,2211,,,,,,,2069,9654,9697,9815,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,712,757,797,,,,,,,758,13810,13814,13853,,,,
mainnet,default,headless-kittypunch-swap-1,0,21872,,,,,21918,24600,24624,44132,,,,,,,44151,50997,,
