network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,830,868,922,,,,,,,,,869,7554,7602,7661,,,,
testnet,default,transfer-erc20-test,,,0,876,918,973,,,,,,,,,920,7564,7603,7657,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,578,593,673,,,,,,,593,7150,,,7173,7256,,,595,10352
testnet,default,transfer-cadence-test,,,0,570,586,689,,,,,,,587,6046,,,6046,8933,,,588,9226
mainnet,default,transfer-test,,,0,849,868,892,,,,,,,,,869,13724,13740,13763,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,594,595,660,,,,,,,595,8710,,,8710,8775,,,597,12974
testnet,ALCHEMY_URL,transfer-test,,,0,915,922,981,,,,,,,,,923,7586,7606,7657,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,906,918,967,,,,,,,,,921,7620,7654,7701,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,558,561,620,,,,,,,,,561,7235,7248,7293,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,509,510,529,,,,,,,,,511,6891,6941,6960,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,387,409,432,,,,,,,,,412,6790,6838,6859,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,606,612,636,,,,,,,,,613,7043,7091,7114,,,,
mainnet,default,headless-kittypunch-swap-1,0,20993,,,,,21012,29340,,,29381,47947,,,,,,,47973,54341,,
mainnet,default,headless-kittypunch-swap-2,0,1988,,,,,,,2023,8446,8458,27062,,,,,,,27097,33556,,
