network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,314,358,379,,,359,3524,3524,3543,,
testnet,default,transfer-erc20-test,0,255,254,279,,,257,3425,3473,3495,,
testnet,default,transfer-cadence-soft-finality-test,0,549,576,628,577,3802,,,3847,3901,578,6974
testnet,default,transfer-cadence-test,0,321,362,400,363,3598,,,3629,7083,364,7827
mainnet,default,transfer-test,0,442,459,483,,,460,6904,6943,6968,,
mainnet,default,transfer-cadence-soft-finality-test,0,414,423,495,424,5362,,,5373,5444,426,9649
testnet,ALCHEMY_URL,transfer-test,0,553,561,603,,,562,3914,3930,3971,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,365,408,440,,,411,3725,3727,3775,,
mainnet,ALCHEMY_URL,transfer-test,0,410,408,436,,,409,13370,13370,13397,,
testnet,QUICKNODE_URL,transfer-test,0,247,256,276,,,257,3419,3421,3440,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,254,255,280,,,257,6641,6686,6707,,
mainnet,QUICKNODE_URL,transfer-test,0,306,306,330,,,306,6732,6738,6763,,
