network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed)
mainnet,default,headless-kittypunch-swap-1,0,21653,21683,30007,,,30024,48655,48697,55575
mainnet,default,headless-kittypunch-swap-2,0,2707,,,2728,8978,9021,28354,28404,34871
mainnet,default,headless-kittypunch-swap-3,0,17902,17910,88248,,,88292,104014,104021,108837
mainnet,default,headless-kittypunch-swap-4,0,1699,,,1713,7580,7591,23315,23334,31223
