network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,856,861,915,,,,,,,,,862,7607,7632,7685,,,,
testnet,default,transfer-erc20-test,,,0,893,907,966,,,,,,,,,910,7554,7604,7658,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,579,592,675,,,,,,,593,7106,,,7152,7232,,,594,10315
testnet,default,transfer-cadence-test,,,0,388,405,509,,,,,,,406,4771,,,4784,7556,,,408,7942
mainnet,default,transfer-test,,,0,806,811,836,,,,,,,,,811,7244,7259,7282,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,583,616,694,,,,,,,617,5255,,,5298,5363,,,618,10626
testnet,ALCHEMY_URL,transfer-test,,,0,610,655,720,,,,,,,,,656,7397,7417,7480,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,671,707,765,,,,,,,,,710,7310,7315,7363,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,667,708,755,,,,,,,,,709,7299,7315,7359,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,567,608,628,,,,,,,,,609,6990,7006,7026,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,480,505,530,,,,,,,,,508,6889,6899,6920,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,706,708,732,,,,,,,,,709,7136,7157,7182,,,,
mainnet,default,headless-kittypunch-swap-1,0,21264,,,,,21297,29868,,,29905,48219,,,,,,,48223,54797,,
mainnet,default,headless-kittypunch-swap-2,0,2212,,,,,,,2214,8673,8711,27122,,,,,,,27172,33615,,
