network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,875,904,987,,,,,,,,,905,4320,4336,4380,,,,
testnet,default,transfer-erc20-test,,,0,784,806,895,,,,,,,,,809,4186,4236,4282,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,605,607,654,,,,,,,608,5958,,,5981,6029,,,609,7007
testnet,default,transfer-cadence-test,,,0,435,447,495,,,,,,,448,4758,,,4764,5959,,,450,6857
mainnet,default,transfer-test,,,0,980,1006,1062,,,,,,,,,1006,7552,7596,7651,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,648,678,787,,,,,,,679,9470,,,9478,9649,,,681,10641
testnet,ALCHEMY_URL,transfer-test,,,0,907,908,1033,,,,,,,,,909,4889,4938,5055,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,1,783,807,936,,,,,,,,,809,4740,4742,4873,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,2454,2462,2726,,,,,,,,,2463,10528,10550,10669,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,794,800,861,,,,,,,,,801,4332,4366,4426,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,728,751,812,,,,,,,,,754,4266,4276,4338,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,756,757,813,,,,,,,,,758,4097,4133,4189,,,,
mainnet,default,headless-kittypunch-swap-1,0,21019,,,,,21036,29430,,,29433,47979,,,,,,,47995,54519,,
mainnet,default,headless-kittypunch-swap-2,0,2011,,,,,,,2023,8716,8760,27339,,,,,,,27365,34414,,
