network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,571,603,639,,,,,,,,,604,7124,7154,7189,,,,
testnet,default,transfer-erc20-test,,,0,750,761,800,,,,,,,,,764,7278,7302,7337,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,501,516,555,,,,,,,517,6790,,,6804,6845,,,518,9930
testnet,default,transfer-cadence-test,,,0,286,293,376,,,,,,,293,7699,,,7741,10359,,,295,10867
mainnet,default,transfer-test,,,0,233,252,263,,,,,,,,,253,6534,6566,6575,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,608,655,707,,,,,,,656,6646,,,6646,6711,,,658,10829
testnet,ALCHEMY_URL,transfer-test,,,0,896,907,946,,,,,,,,,907,7384,7410,7439,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,574,604,639,,,,,,,,,607,7084,7116,7150,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,956,955,985,,,,,,,,,956,7415,7446,7479,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,515,554,565,,,,,,,,,555,6831,6860,6869,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,303,351,364,,,,,,,,,354,6632,6645,6657,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,271,301,311,,,,,,,,,302,3376,3423,3432,,,,
mainnet,default,headless-kittypunch-swap-1,0,20916,,,,,20924,29326,,,29367,47732,,,,,,,47782,60843,,
mainnet,default,headless-kittypunch-swap-2,0,1890,,,,,,,1939,8176,8182,26379,,,,,,,26418,32816,,
