network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1013,1020,1062,,,1020,7573,7601,7636,,
testnet,default,transfer-erc20-test,0,760,765,803,,,767,7339,7349,7397,,
testnet,default,transfer-cadence-soft-finality-test,0,795,799,920,799,7156,,,7179,7287,801,9462
testnet,default,transfer-cadence-test,0,1266,1287,1365,1287,5672,,,5679,9477,1289,10076
mainnet,default,transfer-test,0,1176,1224,1234,,,1224,7507,7554,7563,,
mainnet,default,transfer-cadence-soft-finality-test,0,640,662,713,662,6204,,,6223,6271,664,12471
testnet,ALCHEMY_URL,transfer-test,0,589,612,769,,,613,7275,7295,7335,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,466,510,549,,,513,7047,7093,7123,,
mainnet,ALCHEMY_URL,transfer-test,0,7902,7908,7953,,,7909,15669,15713,15747,,
testnet,QUICKNODE_URL,transfer-test,0,677,714,723,,,714,6990,7039,7048,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,261,306,318,,,308,6586,6633,6645,,
mainnet,QUICKNODE_URL,transfer-test,0,791,816,826,,,817,7098,7144,7154,,
