network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,859,866,919,,,,,,,866,4286,4336,4389,,,,
testnet,default,transfer-erc20-test,,,0,804,818,874,,,,,,,821,4225,4241,4295,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,577,593,670,,,,,593,4938,,,4938,5016,,,595,8139
testnet,default,transfer-cadence-test,,,0,414,431,505,,,,,431,3722,,,3753,6636,,,433,6904
mainnet,default,transfer-test,,,0,1030,1070,1095,,,,,,,1071,13942,13978,14002,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,735,748,813,,,,,748,11249,,,11283,11350,,,750,11249
testnet,ALCHEMY_URL,transfer-test,,,0,535,562,617,,,,,,,563,3963,3985,4037,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,678,714,795,,,,,,,716,4080,4084,4130,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,826,867,926,,,,,,,868,14377,14387,14436,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,671,714,733,,,,,,,715,3873,3881,4106,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,605,611,633,,,,,,,613,3772,3779,3799,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,640,663,688,,,,,,,664,13531,13568,13592,,,,
mainnet,default,headless-kittypunch-swap-1,0,21277,,,,,21314,29598,29629,48106,,,,,,,48112,55535,,
