network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1065,1065,1141,,,,,,,1066,4713,4718,4793,,,,
testnet,default,transfer-erc20-test,,,0,696,708,786,,,,,,,710,4375,4391,4469,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,908,951,1055,,,,,952,4368,,,4380,4489,,,953,7747
testnet,default,transfer-cadence-test,,,0,574,618,709,,,,,618,3997,,,4042,6786,,,620,7332
mainnet,default,transfer-test,,,0,1078,1112,1186,,,,,,,1113,8055,8092,8165,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,837,844,978,,,,,844,8106,,,8151,8270,,,846,9226
testnet,ALCHEMY_URL,transfer-test,,,0,1043,1069,1206,,,,,,,1070,5329,5370,5489,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1078,1113,1230,,,,,,,1116,4940,4966,5092,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1201,1216,1353,,,,,,,1217,8866,8916,9056,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,808,811,884,,,,,,,812,4465,4507,4580,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,674,709,785,,,,,,,713,4357,4364,4437,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,1027,1064,1138,,,,,,,1064,8005,8040,8114,,,,
mainnet,default,headless-kittypunch-swap-4,0,1826,,,,,1838,5267,5300,20950,,,,,,,20958,29817,,
