network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,783,810,879,,,810,7701,7721,7790,,
testnet,default,transfer-erc20-test,0,650,658,734,,,661,7545,7572,7642,,
testnet,default,transfer-cadence-soft-finality-test,0,746,785,896,786,6342,,,6381,6492,787,10795
testnet,default,transfer-cadence-test,0,576,614,704,615,5108,,,5111,8323,616,9542
mainnet,default,transfer-test,0,777,807,879,,,808,7705,7722,7791,,
mainnet,default,transfer-cadence-soft-finality-test,0,832,835,1049,836,7161,,,7174,7287,837,11592
testnet,ALCHEMY_URL,transfer-test,0,974,1013,1112,,,1014,8041,8086,8188,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1036,1056,1156,,,1059,8049,8099,8192,,
mainnet,ALCHEMY_URL,transfer-test,0,626,655,746,,,656,7628,7632,7724,,
testnet,QUICKNODE_URL,transfer-test,0,624,657,727,,,658,7602,7621,7692,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,700,707,782,,,709,7605,7616,7689,,
mainnet,QUICKNODE_URL,transfer-test,0,708,706,777,,,706,4326,4345,4443,,
