network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,737,755,786,,,,,,,,,755,4010,4032,4064,,,,
testnet,default,transfer-erc20-test,,,0,689,708,769,,,,,,,,,711,3947,3993,4050,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,471,483,522,,,,,,,484,4751,,,4764,4796,,,486,7857
testnet,default,transfer-cadence-test,,,0,465,501,580,,,,,,,502,4760,,,4775,6556,,,504,6856
mainnet,default,transfer-test,,,0,780,806,813,,,,,,,,,807,7046,7046,7051,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,446,471,548,,,,,,,471,5979,,,6000,6050,,,473,11203
testnet,ALCHEMY_URL,transfer-test,,,0,325,351,401,,,,,,,,,352,3653,3662,3751,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,310,351,387,,,,,,,,,354,3597,3625,3655,,,,
mainnet,ALCHEMY_URL,transfer-test,,,1,611,654,683,,,,,,,,,655,7077,7124,7150,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,266,305,311,,,,,,,,,306,3338,3382,3387,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,226,251,260,,,,,,,,,254,3288,3326,3331,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,430,452,459,,,,,,,,,453,6699,6744,6750,,,,
mainnet,default,headless-kittypunch-swap-1,0,21018,,,,,21047,29484,,,29535,47958,,,,,,,48000,54861,,
mainnet,default,headless-kittypunch-swap-2,0,2056,,,,,,,2082,8019,8063,26352,,,,,,,26372,32795,,
