network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,501,511,547,,,,,,,,,512,3776,3785,3820,,,,
testnet,default,transfer-erc20-test,,,0,559,561,600,,,,,,,,,564,7065,7097,7133,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,451,487,549,,,,,,,488,4721,,,4726,4764,,,489,7841
testnet,default,transfer-cadence-test,,,0,299,309,370,,,,,,,310,4537,,,4548,6796,,,312,7654
mainnet,default,transfer-test,,,0,826,867,877,,,,,,,,,868,7152,7193,7203,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,456,482,533,,,,,,,482,8179,,,8184,8255,,,483,11345
testnet,ALCHEMY_URL,transfer-test,,,0,464,511,559,,,,,,,,,512,3851,3879,3924,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,332,357,426,,,,,,,,,359,3638,3680,3714,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,971,969,1002,,,,,,,,,970,7724,7758,7847,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,394,408,417,,,,,,,,,408,6686,6736,6745,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,388,408,421,,,,,,,,,411,3482,3526,3536,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,439,459,474,,,,,,,,,460,13159,13160,13169,,,,
mainnet,default,headless-kittypunch-swap-1,0,21486,,,,,21500,29740,,,29770,48269,,,,,,,48306,54699,,
mainnet,default,headless-kittypunch-swap-2,0,2028,,,,,,,2056,8175,8189,26656,,,,,,,26684,33132,,
