network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,714,757,792,,,,,,,,,758,4043,4083,4119,,,,
testnet,default,transfer-erc20-test,,,0,726,758,798,,,,,,,,,761,4027,4039,4077,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,498,509,545,,,,,,,509,3700,,,3722,3760,,,510,6825
testnet,default,transfer-cadence-test,,,0,495,503,541,,,,,,,504,3673,,,3673,6863,,,505,7882
mainnet,default,transfer-test,,,1,797,807,817,,,,,,,,,808,7091,7119,7128,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,476,491,552,,,,,,,492,9499,,,9524,9575,,,494,11588
testnet,ALCHEMY_URL,transfer-test,,,0,622,652,699,,,,,,,,,653,3956,3981,4013,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,590,602,675,,,,,,,,,606,3947,3982,4036,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,2394,2412,2445,,,,,,,,,2413,10089,10109,10146,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,439,452,461,,,,,,,,,452,3534,60000,120193,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,372,405,418,,,,,,,,,408,3472,3493,3503,,,,
mainnet,QUICKNODE_URL,transfer-test,,,1,1007,1006,1016,,,,,,,,,1007,7289,7317,7326,,,,
mainnet,default,headless-kittypunch-swap-1,0,20692,,,,,20730,29033,,,29060,47475,,,,,,,47488,53872,,
mainnet,default,headless-kittypunch-swap-2,0,2014,,,,,,,2026,8281,8312,26946,,,,,,,26971,33562,,
