network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,1,1464,1479,1587,,,,,,,1479,8418,8468,8527,,,,
testnet,default,transfer-erc20-test,,,0,992,1020,1133,,,,,,,1022,7870,7914,7976,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,503,541,651,,,,,541,5094,,,5133,5244,,,543,8333
testnet,default,transfer-cadence-test,,,0,494,532,641,,,,,533,5954,,,5994,8096,,,533,8133
mainnet,default,transfer-test,,,0,1077,1122,1195,,,,,,,1123,4559,4597,4668,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,685,698,893,,,,,698,9396,,,9425,9541,,,700,13108
testnet,ALCHEMY_URL,transfer-test,,,0,1115,1122,1227,,,,,,,1122,8100,8111,8200,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,673,713,810,,,,,,,716,7749,7776,7867,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1051,1064,1159,,,,,,,1065,8087,8115,8211,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,704,714,784,,,,,,,715,7621,7652,7721,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,2692,2704,2783,,,,,,,2707,9621,9645,9716,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,759,768,840,,,,,,,768,7474,7502,7573,,,,
mainnet,default,headless-kittypunch-swap-1,0,21162,,,,,21157,29729,29733,48222,,,,,,,48224,55071,,
