network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1012,1012,1088,,,1013,4678,4701,4776,,
testnet,default,transfer-erc20-test,0,694,708,783,,,711,4342,4354,4426,,
testnet,default,transfer-cadence-soft-finality-test,0,853,890,1001,891,4239,,,4267,4382,892,7584
testnet,default,transfer-cadence-test,0,563,605,691,606,3932,,,3932,7691,608,8373
mainnet,default,transfer-test,0,921,960,1038,,,961,7914,7924,8001,,
testnet,ALCHEMY_URL,transfer-test,0,1195,1215,1502,,,1216,5363,5398,5683,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,922,963,1071,,,966,4773,4806,4912,,
mainnet,ALCHEMY_URL,transfer-test,0,868,912,1015,,,913,8510,8526,8629,,
testnet,QUICKNODE_URL,transfer-test,0,791,809,884,,,810,4472,4500,4574,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,710,758,832,,,760,4385,4397,4468,,
mainnet,QUICKNODE_URL,transfer-test,1,684,707,785,,,708,7631,7668,7739,,
