network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,544,554,591,,,,,,,555,7095,7100,7134,,,,
testnet,default,transfer-erc20-test,,,0,707,708,745,,,,,,,710,7246,7250,7286,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,508,544,582,,,,,545,7123,,,7160,7196,,,546,11309
testnet,default,transfer-cadence-test,,,0,281,291,351,,,,,291,5572,,,5579,8155,,,292,8688
mainnet,default,transfer-test,,,0,892,906,916,,,,,,,907,7187,7210,7222,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,423,472,524,,,,,473,9546,,,9566,9616,,,474,10556
testnet,ALCHEMY_URL,transfer-test,,,0,509,556,583,,,,,,,557,7069,7084,7118,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,427,457,496,,,,,,,460,6984,7012,7044,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1357,1357,1385,,,,,,,1358,5623,5647,5682,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,449,459,468,,,,,,,460,6752,6792,6801,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,314,352,366,,,,,,,355,6627,6665,6676,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,673,704,714,,,,,,,704,6985,7012,7021,,,,
mainnet,default,headless-kittypunch-swap-1,0,20983,,,,,20985,29393,29442,47996,,,,,,,48037,54576,,
