network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1358,1355,1416,,,,,,,,,1356,8157,8189,8249,,,,
testnet,default,transfer-erc20-test,,,0,786,804,869,,,,,,,,,807,7505,7531,7595,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,507,540,663,,,,,,,541,5914,,,5922,5986,,,542,9119
testnet,default,transfer-cadence-test,,,0,433,465,530,,,,,,,466,5851,,,5851,8387,,,468,9092
mainnet,default,transfer-test,,,0,1080,1106,1178,,,,,,,,,1107,7808,7856,7928,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,532,533,657,,,,,,,534,6441,,,6466,6595,,,535,10934
testnet,ALCHEMY_URL,transfer-test,,,1,873,910,1007,,,,,,,,,911,7937,7962,8051,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,862,910,1002,,,,,,,,,912,8085,8119,8354,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,988,1010,1109,,,,,,,,,1011,8390,8427,8527,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,889,905,978,,,,,,,,,906,7814,7864,7936,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,803,805,880,,,,,,,,,808,7711,7762,7834,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,618,656,728,,,,,,,,,656,7356,7406,7477,,,,
mainnet,default,headless-kittypunch-swap-1,0,21078,,,,,21123,29629,,,29664,47750,,,,,,,47795,54634,,
mainnet,default,headless-kittypunch-swap-2,0,2152,,,,,,,2185,8770,8780,27358,,,,,,,27381,34447,,
