network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,785,804,841,,,,,,,805,7382,7427,7462,,,,
testnet,default,transfer-erc20-test,,,0,710,754,798,,,,,,,757,7265,7294,7332,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,485,523,578,,,,,524,6915,,,6954,6995,,,526,10055
testnet,default,transfer-cadence-test,,,0,437,446,507,,,,,447,5782,,,5825,8205,,,449,8895
mainnet,default,transfer-test,,,1,772,806,831,,,,,,,807,7238,7282,7305,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,616,649,734,,,,,650,9054,,,9083,9168,,,651,12351
testnet,ALCHEMY_URL,transfer-test,,,0,978,1011,1080,,,,,,,1012,7670,7709,7756,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,593,606,665,,,,,,,609,7284,7299,7363,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,752,754,823,,,,,,,755,7780,7813,8124,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,478,500,520,,,,,,,501,6881,6900,6919,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,436,451,475,,,,,,,454,6837,6862,6883,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,891,906,931,,,,,,,907,7338,7369,7393,,,,
mainnet,default,headless-kittypunch-swap-1,0,21023,,,,,21070,29670,29717,48045,,,,,,,48078,54932,,
