network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,730,758,791,,,,,,,,,759,4017,4046,4077,,,,
testnet,default,transfer-erc20-test,,,0,664,662,699,,,,,,,,,665,3924,3929,3962,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,456,469,502,,,,,,,470,3628,,,3636,3672,,,471,6738
testnet,default,transfer-cadence-test,,,0,264,279,354,,,,,,,280,3440,,,3447,6989,,,282,7606
mainnet,default,transfer-test,,,0,1010,1019,1026,,,,,,,,,1020,7264,7297,7303,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,495,530,579,,,,,,,531,7413,,,7417,7466,,,532,11597
testnet,ALCHEMY_URL,transfer-test,,,0,581,611,651,,,,,,,,,612,3856,3877,3905,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,514,561,601,,,,,,,,,564,3841,3880,3919,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,414,459,494,,,,,,,,,459,6914,6938,6962,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,435,458,465,,,,,,,,,459,3498,3523,3528,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,316,357,366,,,,,,,,,360,3395,3425,3432,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,876,917,923,,,,,,,,,918,7161,7197,7203,,,,
mainnet,default,headless-kittypunch-swap-1,0,21080,,,,,21098,29345,,,29365,47768,,,,,,,47804,53871,,
mainnet,default,headless-kittypunch-swap-2,0,2062,,,,,,,2068,8161,8201,26720,,,,,,,26740,33296,,
