network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,922,958,993,,,,,,,,,959,7474,7511,7544,,,,
testnet,default,transfer-erc20-test,,,0,820,854,923,,,,,,,,,856,7341,7357,7393,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,291,298,361,,,,,,,299,5588,,,5632,5694,,,301,9774
testnet,default,transfer-cadence-test,,,0,493,527,614,,,,,,,528,5835,,,5860,7596,,,529,7913
mainnet,default,transfer-test,,,0,693,706,715,,,,,,,,,707,6984,7014,7023,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,433,480,533,,,,,,,481,9337,,,9370,9422,,,482,10359
testnet,ALCHEMY_URL,transfer-test,,,0,610,653,697,,,,,,,,,653,7186,7199,7230,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,536,550,590,,,,,,,,,553,7063,7084,7117,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,663,705,755,,,,,,,,,706,7308,7342,7707,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,362,403,412,,,,,,,,,403,6675,6678,6687,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,335,352,365,,,,,,,,,355,6643,6677,6687,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,778,802,811,,,,,,,,,802,7082,7124,7133,,,,
mainnet,default,headless-kittypunch-swap-1,0,20748,,,,,20779,29171,,,29213,48080,,,,,,,48116,54443,,
mainnet,default,headless-kittypunch-swap-2,0,1978,,,,,,,1978,8411,8412,26657,,,,,,,26694,33060,,
