network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,794,815,925,,,,,,,816,4446,4451,4512,,,,
testnet,default,transfer-erc20-test,,,0,951,958,1023,,,,,,,961,4502,4544,4605,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,499,538,647,,,,,539,3978,,,4009,4119,,,540,7221
testnet,default,transfer-cadence-test,,,0,469,507,592,,,,,508,4864,,,4882,6741,,,509,6993
mainnet,default,transfer-test,,,0,818,853,925,,,,,,,854,4282,4326,4397,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,787,798,962,,,,,799,6313,,,6329,6459,,,800,9744
testnet,ALCHEMY_URL,transfer-test,,,0,762,802,914,,,,,,,804,4511,4518,4628,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,633,654,763,,,,,,,656,4442,4475,4574,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1073,1110,1212,,,,,,,1110,8093,8103,8200,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,745,752,820,,,,,,,753,4340,4371,4437,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,707,708,782,,,,,,,710,4290,4335,4400,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,708,754,826,,,,,,,755,7471,7517,7588,,,,
mainnet,default,headless-kittypunch-swap-1,0,20828,,,,,20843,29640,29680,48016,,,,,,,48063,54918,,
