network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,1,1021,1019,1128,,,,,,,,,1020,7911,7957,8018,,,,
testnet,default,transfer-erc20-test,,,0,890,917,982,,,,,,,,,920,7672,7704,7765,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,654,690,801,,,,,,,691,5149,,,5179,5243,,,692,8346
testnet,default,transfer-cadence-test,,,0,487,523,587,,,,,,,524,6044,,,6084,8975,,,526,9293
mainnet,default,transfer-test,,,0,910,917,990,,,,,,,,,918,7622,7651,7723,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,518,563,678,,,,,,,564,6173,,,6179,6363,,,565,8473
testnet,ALCHEMY_URL,transfer-test,,,0,818,815,947,,,,,,,,,816,7921,7960,8061,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,725,764,874,,,,,,,,,767,7918,7963,8083,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,845,867,988,,,,,,,,,868,7995,8019,8131,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,725,764,831,,,,,,,,,765,7625,7654,7721,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,752,764,835,,,,,,,,,767,7623,7653,7722,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1091,1122,1194,,,,,,,,,1122,7825,7859,7930,,,,
mainnet,default,headless-kittypunch-swap-1,0,21289,,,,,21327,30045,,,30052,48039,,,,,,,48051,61642,,
mainnet,default,headless-kittypunch-swap-2,0,2760,,,,,,,2785,8867,8912,28063,,,,,,,28080,35190,,
mainnet,default,headless-kittypunch-swap-3,0,17545,,,,,17554,50111,,,50125,65965,,,,,,,66005,74359,,
mainnet,default,headless-kittypunch-swap-4,0,1607,,,,,,,1636,7559,7606,23434,,,,,,,23475,38356,,
