network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,1043,1060,1132,,,1060,4693,4695,4766,,
testnet,default,transfer-erc20-test,0,841,860,932,,,863,4477,4492,4561,,
testnet,default,transfer-cadence-soft-finality-test,0,780,825,928,826,4218,,,4247,4354,827,8648
testnet,default,transfer-cadence-test,0,641,681,768,682,3994,,,4010,7469,684,8427
mainnet,default,transfer-test,0,1149,1162,1239,,,1163,14573,14584,14656,,
mainnet,default,transfer-cadence-soft-finality-test,0,1062,1065,1178,1066,10700,,,10727,10852,1067,12911
testnet,ALCHEMY_URL,transfer-test,0,952,962,1131,,,963,5005,5018,5114,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,1404,1416,1543,,,1418,6057,6085,6373,,
mainnet,ALCHEMY_URL,transfer-test,0,1015,1060,1171,,,1061,8354,8387,8495,,
testnet,QUICKNODE_URL,transfer-test,0,683,709,782,,,710,4349,4350,4422,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,648,656,728,,,658,4276,4298,4367,,
mainnet,QUICKNODE_URL,transfer-test,0,1480,1516,1594,,,1517,8446,8486,8559,,
