network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,942,968,1035,,,,,,,969,7813,7838,7905,,,,
testnet,default,transfer-erc20-test,,,0,1040,1071,1183,,,,,,,1074,8054,8066,8126,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,488,529,641,,,,,530,5969,,,5990,6053,,,531,10238
testnet,default,transfer-cadence-test,,,0,493,532,661,,,,,533,6187,,,6207,8326,,,534,8412
mainnet,default,transfer-test,,,0,845,867,938,,,,,,,868,4298,4338,4409,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,1232,1242,1362,,,,,1241,6518,,,6551,6723,,,1243,10003
testnet,ALCHEMY_URL,transfer-test,,,0,1179,1224,1331,,,,,,,1224,8275,8318,8427,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,658,663,785,,,,,,,665,7724,7759,7867,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,1013,1020,1129,,,,,,,1021,8022,8064,8155,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,792,821,892,,,,,,,822,7726,7762,7832,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,749,767,843,,,,,,,770,7657,7657,7730,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1228,1226,1299,,,,,,,1227,7964,8011,8088,,,,
mainnet,default,headless-kittypunch-swap-1,0,21257,,,,,21291,29765,29816,48243,,,,,,,48249,52083,,
