network,providerKey,runner,0_KittypunchSwap_PageInit(waiting),0_KittypunchSwap_PageInit(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapClick_FlowToUsdf(waiting),1_SwapClick_FlowToUsdf(completed),1_SwapClick_UsdfToFlow(waiting),1_SwapClick_UsdfToFlow(completed),2_SignTransaction(waiting),2_SignTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_TransactionComplete(waiting),3_TransactionComplete(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,949,956,1016,,,,,,,,,957,4445,4477,4538,,,,
testnet,default,transfer-erc20-test,,,0,885,908,972,,,,,,,,,911,4437,4471,4533,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,552,590,654,,,,,,,590,4947,,,4958,5069,,,591,8190
testnet,default,transfer-cadence-test,,,0,399,437,570,,,,,,,437,4790,,,4797,6434,,,439,7010
mainnet,default,transfer-test,,,0,983,1005,1076,,,,,,,,,1006,7720,7736,7807,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,2654,2658,2777,,,,,,,2662,11636,,,11644,11835,,,2663,11636
testnet,ALCHEMY_URL,transfer-test,,,0,805,810,954,,,,,,,,,811,4671,4691,4817,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,753,754,864,,,,,,,,,757,4491,4497,4599,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,766,805,909,,,,,,,,,805,7920,7953,8052,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,984,1009,1085,,,,,,,,,1010,4674,4686,4760,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,757,755,835,,,,,,,,,758,4461,4488,4565,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,1000,1012,1085,,,,,,,,,1013,7714,7763,7834,,,,
mainnet,default,headless-kittypunch-swap-1,0,21318,,,,,21363,30801,,,30804,49143,,,,,,,49177,56539,,
mainnet,default,headless-kittypunch-swap-2,0,2818,,,,,,,2839,9390,9441,28017,,,,,,,28026,34937,,
