providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),GetBalance_Await_hash(waiting),GetBalance_Await_hash(completed),GetBalance_Await_receipt->Change(waiting),GetBalance_Await_receipt->Change(completed),WaitForTransactionExecuted(waiting),WaitForTransactionExecuted(completed),WaitForTransactionReceiptAction(waiting),WaitForTransactionReceiptAction(completed),WaitForTransactionSealed(waiting),WaitForTransactionSealed(completed)
default,transfer-test,0,984,1000,1036,7500,7587,,,1000,7548,,
default,transfer-erc20-test,0,568,600,656,7100,7188,,,600,7117,,
default,transfer-cadence-soft-finality-test,0,540,450,719,5800,5966,450,5890,,,450,9328
default,transfer-cadence-test,0,427,400,563,5750,8527,400,5814,,,400,8936
ALCHEMY_URL,transfer-test,0,1479,1500,1745,15500,15766,,,1500,15600,,
ALCHEMY_URL,transfer-erc20-test,0,913,950,1057,14850,15021,,,950,14870,,
