network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,684,709,742,,,,,,,,,710,7176,7180,7211,,,,
testnet,default,transfer-erc20-test,,,0,885,917,953,,,,,,,,,920,7426,7454,7486,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,466,507,541,,,,,,,507,6831,,,6833,6869,,,509,9940
testnet,default,transfer-cadence-test,,,0,436,449,508,,,,,,,450,5704,,,5707,8615,,,452,8811
mainnet,default,transfer-test,,,0,610,612,618,,,,,,,,,613,6861,6892,6898,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,2458,2478,2541,,,,,,,2478,9253,,,9262,9308,,,2480,13445
testnet,ALCHEMY_URL,transfer-test,,,0,715,713,749,,,,,,,,,714,7176,7196,7225,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,764,764,808,,,,,,,,,767,7288,7296,7326,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,816,815,841,,,,,,,,,816,7258,7300,7328,,,,
testnet,QUICKNODE_URL,transfer-test,,,1,351,357,364,,,,,,,,,358,6603,6638,6643,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,296,306,316,,,,,,,,,308,6556,6585,6591,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,363,408,415,,,,,,,,,409,6656,6687,6693,,,,
mainnet,default,headless-kittypunch-swap-1,0,21112,,,,,21163,29579,,,29580,47970,,,,,,,47986,54466,,
mainnet,default,headless-kittypunch-swap-2,0,1889,,,,,,,1895,8179,8229,27290,,,,,,,27316,33698,,
