network,providerKey,runner,0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,0,401,410,420,,,411,6690,6694,6702,,
testnet,default,transfer-erc20-test,0,186,204,217,,,207,12892,12912,12923,,
testnet,default,transfer-cadence-soft-finality-test,0,447,453,492,452,6623,,,6629,6669,454,9752
testnet,default,transfer-cadence-test,0,226,234,256,235,6431,,,6477,8999,236,9559
mainnet,default,transfer-test,0,551,558,567,,,558,6841,6881,6891,,
mainnet,default,transfer-cadence-soft-finality-test,0,478,526,577,526,7571,,,7617,7669,528,14907
testnet,ALCHEMY_URL,transfer-test,0,335,361,399,,,362,6777,6790,6807,,
testnet,ALCHEMY_URL,transfer-erc20-test,0,224,255,292,,,257,6672,6690,6709,,
mainnet,ALCHEMY_URL,transfer-test,0,372,408,439,,,408,13190,13211,13232,,
testnet,QUICKNODE_URL,transfer-test,0,193,204,213,,,204,6484,6533,6542,,
testnet,QUICKNODE_URL,transfer-erc20-test,0,178,205,217,,,207,6485,6486,6496,,
mainnet,QUICKNODE_URL,transfer-test,0,395,401,411,,,402,6685,6711,6720,,
