network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,1105,1109,1195,,,,,,,,,1110,7885,7908,7953,,,,
testnet,default,transfer-erc20-test,,,0,919,959,1050,,,,,,,,,962,7619,7662,7747,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,547,556,644,,,,,,,557,7116,,,7137,7188,,,558,10267
testnet,default,transfer-cadence-test,,,0,364,375,435,,,,,,,376,5810,,,5847,8158,,,377,9079
mainnet,default,transfer-test,,,0,811,852,924,,,,,,,,,852,7549,7583,7654,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,0,655,691,805,,,,,,,692,8501,,,8520,8755,,,693,10734
testnet,ALCHEMY_URL,transfer-test,,,0,1144,1155,1275,,,,,,,,,1156,8357,8387,8492,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,1158,1160,1270,,,,,,,,,1163,8295,8296,8404,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,809,807,924,,,,,,,,,808,7946,7965,8082,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,717,753,806,,,,,,,,,754,7471,7513,7565,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,576,605,662,,,,,,,,,608,7323,7353,7407,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,707,710,782,,,,,,,,,711,7405,7417,7489,,,,
mainnet,default,headless-kittypunch-swap-1,0,20779,,,,,20791,29354,,,29382,47665,,,,,,,47697,54549,,
mainnet,default,headless-kittypunch-swap-2,0,1927,,,,,,,1928,8590,8621,27391,,,,,,,27412,34431,,
