network,providerKey,runner,0_KittypunchSwap_Init(waiting),0_KittypunchSwap_Init(completed),0_TransferAction(waiting),0_TransferAction(completed),1_GetBalance_Await_hash(waiting),1_GetBalance_Await_hash(completed),1_SwapFlowToUsdf(waiting),1_SwapFlowToUsdf(completed),1_SwapUsdfToFlow(waiting),1_SwapUsdfToFlow(completed),2_DoSigningTransaction(waiting),2_DoSigningTransaction(completed),2_WaitForTransactionExecuted(waiting),2_WaitForTransactionExecuted(completed),2_WaitForTransactionReceipt(waiting),2_WaitForTransactionReceipt(completed),3_GetBalance_Await_receipt->Change(waiting),3_GetBalance_Await_receipt->Change(completed),3_WaitForCompleted(waiting),3_WaitForCompleted(completed),4_WaitForTransactionSealed(waiting),4_WaitForTransactionSealed(completed)
testnet,default,transfer-test,,,0,700,714,750,,,,,,,,,715,7208,7248,7281,,,,
testnet,default,transfer-erc20-test,,,0,574,612,651,,,,,,,,,615,7108,7148,7185,,,,
testnet,default,transfer-cadence-soft-finality-test,,,0,515,557,612,,,,,,,557,5891,,,5913,5968,,,559,9061
testnet,default,transfer-cadence-test,,,0,495,540,618,,,,,,,540,7989,,,7989,9035,,,542,9045
mainnet,default,transfer-test,,,0,848,866,893,,,,,,,,,866,7313,7349,7375,,,,
mainnet,default,transfer-cadence-soft-finality-test,,,1,400,430,500,,,,,,,431,9303,,,9310,9378,,,432,11420
testnet,ALCHEMY_URL,transfer-test,,,0,970,972,1043,,,,,,,,,972,7668,7709,7765,,,,
testnet,ALCHEMY_URL,transfer-erc20-test,,,0,921,969,1025,,,,,,,,,972,7654,7705,7756,,,,
mainnet,ALCHEMY_URL,transfer-test,,,0,894,918,971,,,,,,,,,918,14062,14080,14127,,,,
testnet,QUICKNODE_URL,transfer-test,,,0,725,765,784,,,,,,,,,765,7145,7146,7164,,,,
testnet,QUICKNODE_URL,transfer-erc20-test,,,0,413,458,481,,,,,,,,,461,6847,6893,6912,,,,
mainnet,QUICKNODE_URL,transfer-test,,,0,737,765,792,,,,,,,,,766,7226,7246,7272,,,,
mainnet,default,headless-kittypunch-swap-1,0,20807,,,,,20832,29100,,,29149,47850,,,,,,,47882,54240,,
mainnet,default,headless-kittypunch-swap-2,0,1948,,,,,,,1954,8358,8391,26876,,,,,,,26924,30232,,
